"","Discussion_InCloseness"
"Altrincham",0.000554016620498615
"Navigation Road",0.000612745098039216
"Timperley",0.000572409845449342
"Brooklands",0.000552791597567717
"Sale",0.000571102227298686
"Dane Road",0.000602046959662854
"Stretford",0.000646830530401035
"Old Trafford",0.000713266761768902
"Trafford Bar",8e-04
"Cornbrook",0.000884173297966401
"Deansgate-Castlefield",0.000969932104752667
"St Peter's Square",0.000859106529209622
"Market Street",0.000782472613458529
"Shudehill",0.000818330605564648
"Victoria",0.000951474785918173
"Monsall",0.000829187396351575
"Central Park",0.000734753857457752
"Newton Heath & Moston",0.000659630606860158
"Failsworth",0.000598444045481747
"Hollinwood",0.000547645125958379
"South Chadderton",0.000504795557799091
"Freehold",0.000468164794007491
"Westwood",0.000437636761487965
"Oldham King Street",0.000410846343467543
"Oldham Central",0.000387146728610143
"Oldham Mumps",0.000366032210834553
"Derker",0.000388048117966628
"Shaw and Crompton",0.000412881915772089
"Newhey",0.000441111601235112
"Milnrow",0.000473484848484848
"Kingsway Business Park",0.000510986203372509
"Newbold",0.000554938956714761
"Rochdale Railway Station",0.000607164541590771
"Queens Road",0.000827814569536424
"Abraham Moss",0.000731528895391368
"Crumpsall",0.000654450261780105
"Bowker Vale",0.000591366055588409
"Heaton Park",0.000538793103448276
"Prestwich",0.000494315373208107
"Besses o'th'Barn",0.000456204379562044
"Whitefield",0.000423190859077444
"Radcliffe",0.000394321766561514
"Exchange Square",0.000833333333333333
"Piccadilly Gardens",0.000796178343949045
"Piccadilly",0.000829187396351575
"New Islington",0.000731528895391368
"Holt Town",0.000654450261780105
"Etihad Campus",0.00059206631142688
"Velopark",0.000540540540540541
"Clayton Hall",0.000501002004008016
"Edge Lane",0.000491642084562439
"Cemetery Road",0.000520020800832033
"Droylsden",0.000559597090095132
"Audenshaw",0.000615006150061501
"Ashton Moss",0.00068259385665529
"Ashton West",0.000766871165644172
"The Trafford Centre",0.000434404865334492
"Barton Dock Road",0.000470145745181006
"Parkway",0.000511770726714432
"Village",0.000560852495793606
"Imperial War Museum",0.000619578686493185
"Wharfside",0.000691085003455425
"Pomona",0.00078003120124805
"Eccles",0.000907441016333938
"Ladywell",0.000790513833992095
"Weaste",0.000700280112044818
"Langworthy",0.000628535512256443
"Broadway",0.000574052812858783
"MediaCityUK",0.000531914893617021
"Harbour City",0.000542888165038002
"Anchorage",0.000564652738565782
"Salford Quays",0.000621890547263682
"Exchange Quay",0.00069204152249135
"East Didsbury",0.00062111801242236
"Didsbury Village",0.000574382538770821
"West Didsbury",0.000538793103448276
"Burton Road",0.000533902829684997
"Withington",0.00056274620146314
"St Werburgh's Road",0.000609013398294762
"Chorlton",0.000661375661375661
"Firswood",0.000723589001447178
"Shadowmoss",0.000255754475703325
"Peel Hall",0.000267737617135208
"Robinswood Road",0.000280741156653565
"Wythenshawe Town Centre",0.000294898260100265
"Crossacres",0.000310366232153942
"Benchill",0.000327332242225859
"Martinscroft",0.000346020761245675
"Roundthorn",0.000366703337000367
"Baguley",0.00038971161340608
"Moor Road",0.000415454923140839
"Wythenshawe Park",0.000444444444444444
"Northern Moor",0.000477326968973747
"Sale Water Park",0.000514933058702369
"Barlow Moor Road",0.000558347292015634
"GATHURST",0.000537923614846692
"WIGAN WALLGATE",0.000593824228028504
"INCE",0.00066006600660066
"HINDLEY",0.00060313630880579
"DAISY HILL",0.000548847420417124
"HAG FOLD",0.000525486074619023
"ATHERTON",0.000564015792442188
"WALKDEN",0.000611620795107034
"MOORSIDE",0.000669344042838019
"SWINTON",0.000748502994011976
"SALFORD CRESCENT",0.000853242320819113
"SALFORD CENTRAL",0.000837520938023451
"WESTHOUGHTON",0.000551876379690949
"ORRELL",0.000492125984251968
"PEMBERTON",0.00053850296176629
"WIGAN NORTH WESTERN",0.000725689404934688
"PATRICROFT",0.0008058017727639
"BLACKROD",0.000416319733555371
"HORWICH PARKWAY",0.000449034575662326
"LOSTOCK",0.000486854917234664
"BOLTON INTERCHANGE",0.000531067445565587
"MOSES GATE",0.000570450656018254
"FARNWORTH",0.000619195046439629
"KEARSLEY",0.00067842605156038
"CLIFTON",0.000754147812971342
"BROMLEY CROSS",0.000448229493500672
"HALL I'TH' WOOD",0.000486381322957198
"LITTLEBOROUGH",0.00050125313283208
"SMITHY BRIDGE",0.000549450549450549
"CASTLETON",0.000667556742323097
"MILLS HILL",0.000741289844329133
"MOSTON",0.000833333333333333
"GREENFIELD",0.000628930817610063
"MOSSLEY",0.000706713780918728
"STALYBRIDGE",0.000805152979066023
"Ashton-Under-Lyne",0.000874890638670166
"GUIDE BRIDGE",0.000751314800901578
"FAIRFIELD",0.000683526999316473
"GORTON",0.000653167864141084
"ASHBURYS",0.000683994528043776
"ARDWICK",0.000747384155455904
"MANCHESTER OXFORD ROAD",0.000884173297966401
"REDDISH SOUTH",0.000693481276005548
"BROADBOTTOM",0.000457456541628545
"HATTERSLEY",0.000497265042267529
"GODLEY",0.000544069640914037
"NEWTON FOR HYDE",0.000599880023995201
"FLOWERY FIELD",0.000667556742323097
"ROSE HILL",0.000469263256687001
"MARPLE",0.000469263256687001
"ROMILEY",0.000511247443762781
"WOODLEY",0.000552181115405853
"HYDE CENTRAL",0.000605693519079346
"HYDE NORTH",0.000670690811535882
"BREDBURY",0.000480076812289966
"BRINNINGTON",0.000481927710843373
"REDDISH NORTH",0.000514933058702369
"RYDER BROW",0.000561167227833894
"BELLE VUE",0.00061652281134402
"MIDDLEWOOD",0.000458926112895824
"HAZEL GROVE",0.000499001996007984
"WOODSMOOR",0.000546149645002731
"DAVENPORT",0.000602409638554217
"STOCKPORT",0.000670690811535882
"HEATON CHAPEL",0.000698324022346369
"LEVENSHULME",0.000754147812971342
"HEALD GREEN",0.000510725229826353
"GATLEY",0.000560852495793606
"BURNAGE",0.000675675675675676
"MAULDETH ROAD",0.000740740740740741
"HALE",0.000505050505050505
"IRLAM",0.000487567040468064
"FLIXTON",0.000533049040511727
"CHASSEN ROAD",0.000587199060481503
"URMSTON",0.000652741514360313
"HUMPHREY PARK",0.000733675715333822
"TRAFFORD PARK",0.000836120401337793
"BRAMHALL",0.000543773790103317
"CHEADLE HULME",0.000600961538461538
"Rochdale",0.000548847420417124
"Bury",0.000368867576540022
"BRYN",0.000643915003219575
